Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,season,scraped_date
Burnley,31,24.5,47.4,38,418,"3,420",38.0,40,30,70,37,3,3,77,7,40.6,38.3,29.7,68.0,727,1181,1.05,0.79,1.84,0.97,1.76,1.07,0.78,1.85,1.01,1.79,2023-2024,2025-08-19
Chelsea,32,24.2,58.6,38,418,"3,420",38.0,76,51,127,65,11,12,109,4,74.5,65.1,51.4,116.5,873,1615,2.00,1.34,3.34,1.71,3.05,1.96,1.35,3.31,1.71,3.06,2023-2024,2025-08-19
Crystal Palace,26,26.7,42.3,38,418,"3,420",38.0,56,43,99,52,4,4,73,2,48.6,45.4,38.7,84.1,506,1176,1.47,1.13,2.61,1.37,2.50,1.28,1.02,2.30,1.20,2.21,2023-2024,2025-08-19
Everton,26,27.1,40.8,38,418,"3,420",38.0,40,17,57,38,2,3,82,1,54.0,51.6,38.1,89.8,495,1129,1.05,0.45,1.50,1.00,1.45,1.42,1.00,2.43,1.36,2.36,2023-2024,2025-08-19
Fulham,25,28.4,50.6,38,418,"3,420",38.0,54,40,94,52,2,2,84,4,50.8,49.2,37.6,86.8,670,1467,1.42,1.05,2.47,1.37,2.42,1.34,0.99,2.33,1.30,2.29,2023-2024,2025-08-19
Liverpool,30,26.3,61.3,38,418,"3,420",38.0,80,60,140,74,6,9,69,5,87.8,80.4,63.7,144.1,924,2110,2.11,1.58,3.68,1.95,3.53,2.31,1.68,3.98,2.12,3.79,2023-2024,2025-08-19
Luton Town,28,26.7,42.4,38,418,"3,420",38.0,49,33,82,44,5,5,71,0,42.4,38.6,29.5,68.2,675,1113,1.29,0.87,2.16,1.16,2.03,1.12,0.78,1.89,1.02,1.79,2023-2024,2025-08-19
Manchester City,25,26.6,65.2,38,418,"3,420",38.0,94,69,163,85,9,10,53,2,80.5,72.9,60.2,133.1,1127,2060,2.47,1.82,4.29,2.24,4.05,2.12,1.58,3.70,1.92,3.50,2023-2024,2025-08-19
Manchester Utd,31,26.1,50.6,38,418,"3,420",38.0,57,36,93,51,6,7,83,1,56.5,51.0,40.1,91.0,758,1479,1.50,0.95,2.45,1.34,2.29,1.49,1.06,2.54,1.34,2.40,2023-2024,2025-08-19
Newcastle Utd,32,27.2,52.2,38,418,"3,420",38.0,83,55,138,75,8,9,79,1,76.0,69.0,51.3,120.3,737,1557,2.18,1.45,3.63,1.97,3.42,2.00,1.35,3.35,1.82,3.17,2023-2024,2025-08-19
Nott'ham Forest,33,25.7,40.6,38,418,"3,420",38.0,49,43,92,48,1,1,82,3,49.9,49.1,37.9,87.0,601,1141,1.29,1.13,2.42,1.26,2.39,1.31,1.00,2.31,1.29,2.29,2023-2024,2025-08-19
