Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,season,scraped_date
Liverpool,24,57.7,38.0,25903,2421,7283,11575,7274,1315,25894,677,301,44.5,310,45.8,14934,76153,41062,826,558,323,532,350,18113,1910,2024-2025,2025-08-19
Manchester City,30,61.3,38.0,28103,2092,6503,12076,9753,1348,28099,799,377,47.2,301,37.7,18077,103744,56163,1146,863,404,476,395,21242,1920,2024-2025,2025-08-19
Manchester Utd,31,53.5,38.0,24734,2553,8593,10460,5908,967,24730,621,252,40.6,323,52.0,15116,75007,37992,697,475,230,521,353,16672,1433,2024-2025,2025-08-19
Newcastle Utd,24,51.3,38.0,23032,2284,7468,9671,6124,1082,23026,657,282,42.9,298,45.4,13016,71021,36065,759,474,263,491,438,15294,1583,2024-2025,2025-08-19
Nott'ham Forest,23,41.2,38.0,18996,2463,6477,7689,5063,785,18993,581,259,44.6,233,40.1,8768,49825,26563,633,384,187,563,324,10733,1117,2024-2025,2025-08-19
Southampton,36,48.5,38.0,22776,3003,8424,9788,4766,688,22774,736,312,42.4,333,45.2,12656,66945,34286,640,460,165,486,355,15394,1118,2024-2025,2025-08-19
Tottenham,31,54.7,38.0,24315,2626,8159,10173,6223,1001,24311,812,308,37.9,425,52.3,15073,82903,41758,840,566,249,538,426,16373,1582,2024-2025,2025-08-19
West Ham,27,48.4,38.0,22887,2942,8352,9852,4896,839,22884,793,347,43.8,360,45.4,11796,59439,29684,632,394,175,492,392,14712,1214,2024-2025,2025-08-19
Wolves,32,48.1,38.0,22329,2578,7797,10051,4750,729,22328,731,324,44.3,315,43.1,12486,66974,34365,607,458,146,591,369,14358,1179,2024-2025,2025-08-19
Arsenal,25,58.2,38.0,26493,1974,6714,11407,8560,1480,26483,671,283,42.2,304,45.3,16297,81171,41510,821,575,327,525,375,18917,2088,2023-2024,2025-08-19
Aston Villa,31,53.1,38.0,23059,2807,8171,9636,5459,1010,23055,757,345,45.6,315,41.6,14451,78629,41239,775,490,217,477,416,15824,1438,2023-2024,2025-08-19
Bournemouth,30,44.4,38.0,20700,2486,6820,8469,5686,1033,20697,872,382,43.8,414,47.5,11015,66369,34635,709,513,240,637,386,11771,1296,2023-2024,2025-08-19
Brentford,28,45.2,38.0,21227,2878,7944,8253,5210,982,21224,577,243,42.1,269,46.6,10970,56621,29411,505,363,156,556,271,12416,1276,2023-2024,2025-08-19
Brighton,30,59.8,38.0,29112,3197,9449,13090,6766,1081,29106,715,297,41.5,322,45.0,19020,92960,48884,864,584,269,579,342,21577,1767,2023-2024,2025-08-19
Burnley,31,47.4,38.0,22181,2907,8021,9196,5155,819,22178,699,300,42.9,329,47.1,12244,66914,35421,727,460,240,517,296,13779,1162,2023-2024,2025-08-19
Chelsea,32,58.6,38.0,27725,3035,9367,12068,6558,1039,27713,869,398,45.8,365,42.0,16624,84615,44082,873,543,291,604,370,19899,1600,2023-2024,2025-08-19
Crystal Palace,26,42.3,38.0,21367,2349,7237,9279,5077,797,21363,737,341,46.3,320,43.4,10943,55546,26838,506,383,170,606,426,12811,1161,2023-2024,2025-08-19
Everton,26,40.8,38.0,20053,2568,6792,8180,5283,809,20050,564,250,44.3,267,47.3,9770,52160,25904,495,389,127,560,320,11254,1119,2023-2024,2025-08-19
Fulham,25,50.6,38.0,24318,2792,8619,10359,5568,849,24316,550,271,49.3,232,42.2,13883,72675,36777,670,508,151,520,325,16183,1452,2023-2024,2025-08-19
Liverpool,30,61.3,38.0,28764,2193,7390,13756,7869,1422,28755,737,331,44.9,331,44.9,17894,92424,48244,924,694,295,574,407,20230,2091,2023-2024,2025-08-19
Luton Town,28,42.4,38.0,19655,2630,7028,7905,4964,780,19650,771,354,45.9,331,42.9,10069,59965,29815,675,480,169,580,385,10911,1094,2023-2024,2025-08-19
Manchester City,25,65.2,38.0,31414,2162,7012,14348,10260,1466,31404,731,377,51.6,282,38.6,20210,105397,58071,1127,867,415,441,356,24343,2032,2023-2024,2025-08-19
Manchester Utd,31,50.6,38.0,23998,2938,8197,9856,6146,1025,23991,697,311,44.6,303,43.5,13979,75358,39599,758,523,274,484,342,15597,1468,2023-2024,2025-08-19
Newcastle Utd,32,52.2,38.0,24004,2447,8084,10144,6004,1094,23996,730,355,48.6,288,39.5,13650,73461,36585,737,507,243,506,400,15994,1545,2023-2024,2025-08-19
Nott'ham Forest,33,40.6,38.0,20126,2493,7339,8320,4686,785,20125,604,275,45.5,268,44.4,10217,54749,29182,601,394,155,527,286,11784,1123,2023-2024,2025-08-19
