matchday,date,time,Home team,away team,home team final goals,away team final goals,home team halftime goals,away team halftime goals,winner
,,1500,Crystal Palace FC,Southampton FC,2,1,1,1,home
,,1715,West Ham United FC,Liverpool FC,0,5,0,3,away
,,1945,Aston Villa FC,Brighton & Hove Albion FC,2,2,1,1,draw
,,2000,Manchester United FC,Newcastle United FC,0,2,0,2,away
,,1730,Brentford FC,Arsenal FC,1,3,1,1,away
,,1230,Tottenham Hotspur FC,Newcastle United FC,1,2,1,2,away
,,1500,Southampton FC,Brentford FC,0,5,0,1,away
,,1730,Brighton & Hove Albion FC,Arsenal FC,1,1,0,1,draw
,,1400,Fulham FC,Ipswich Town FC,2,2,0,1,draw
,,1630,Liverpool FC,Manchester United FC,2,2,0,0,draw
,,2000,Wolverhampton Wanderers FC,Nottingham Forest FC,0,3,0,2,away
,,1930,West Ham United FC,Fulham FC,3,2,2,0,home
,,2000,Nottingham Forest FC,Liverpool FC,1,1,1,0,draw
,,1930,Everton FC,Aston Villa FC,0,1,0,0,away
,,2000,Arsenal FC,Tottenham Hotspur FC,2,1,2,1,home
,,1930,Ipswich Town FC,Brighton & Hove Albion FC,0,2,0,0,away
,,2000,Manchester United FC,Southampton FC,3,1,0,1,home
,,1230,Newcastle United FC,AFC Bournemouth,1,4,1,2,away
,,1500,West Ham United FC,Crystal Palace FC,0,2,0,0,away
,,1730,Arsenal FC,Aston Villa FC,2,2,1,0,draw
,,1400,Manchester United FC,Brighton & Hove Albion FC,1,3,1,1,away
,,1630,Ipswich Town FC,Manchester City FC,0,6,0,3,away
,,2000,Chelsea FC,Wolverhampton Wanderers FC,3,1,1,1,home
,,1500,Liverpool FC,Ipswich Town FC,4,1,3,0,home
,,1730,Manchester City FC,Chelsea FC,3,1,1,1,home
,,1400,Crystal Palace FC,Brentford FC,1,2,0,0,away
,,1630,Aston Villa FC,West Ham United FC,1,1,1,0,draw
,,1900,Fulham FC,Manchester United FC,0,1,0,0,away
,,1230,Nottingham Forest FC,Brighton & Hove Albion FC,7,0,3,0,home
,,1500,Newcastle United FC,Fulham FC,1,2,1,0,away
,,1730,Wolverhampton Wanderers FC,Aston Villa FC,2,0,1,0,home
,,1400,Manchester United FC,Crystal Palace FC,0,2,0,0,away
,,1630,Arsenal FC,Manchester City FC,5,1,1,0,home
,,2000,Chelsea FC,West Ham United FC,2,1,0,1,home
,,1930,Everton FC,Liverpool FC,2,2,1,1,draw
,,2000,Brighton & Hove Albion FC,Chelsea FC,3,0,2,0,home
,,1230,Leicester City FC,Arsenal FC,0,2,0,0,away
,,1500,Southampton FC,AFC Bournemouth,1,3,0,2,away
,,1730,Crystal Palace FC,Everton FC,1,2,0,1,away
,,1400,Liverpool FC,Wolverhampton Wanderers FC,2,1,2,0,home
,,1630,Tottenham Hotspur FC,Manchester United FC,1,0,1,0,home
,,1930,Aston Villa FC,Liverpool FC,2,2,2,1,draw
,,2000,Leicester City FC,Brentford FC,0,4,0,3,away
,,1230,Everton FC,Manchester United FC,2,2,2,0,draw
,,1500,Ipswich Town FC,Tottenham Hotspur FC,1,4,1,2,away
,,1730,Aston Villa FC,Chelsea FC,2,1,0,1,home
,,1400,Newcastle United FC,Nottingham Forest FC,4,3,4,1,home
,,1630,Manchester City FC,Liverpool FC,0,2,0,2,away
,,1930,Brighton & Hove Albion FC,AFC Bournemouth,2,1,1,0,home
,,2015,Chelsea FC,Southampton FC,4,0,3,0,home
,,2015,Liverpool FC,Newcastle United FC,2,0,1,0,home
,,2000,West Ham United FC,Leicester City FC,2,0,2,0,home
,,1230,Nottingham Forest FC,Manchester City FC,1,0,0,0,home
,,1500,Brighton & Hove Albion FC,Fulham FC,2,1,1,1,home
,,1730,Brentford FC,Aston Villa FC,0,1,0,0,away
,,2000,Wolverhampton Wanderers FC,Everton FC,1,1,1,1,draw
,,1400,Tottenham Hotspur FC,AFC Bournemouth,2,2,0,1,draw
,,1630,Manchester United FC,Arsenal FC,1,1,1,0,draw
,,2000,West Ham United FC,Newcastle United FC,0,1,0,0,away
,,1500,Everton FC,West Ham United FC,1,1,0,0,draw
,,1730,AFC Bournemouth,Brentford FC,1,2,1,1,away
,,1330,Arsenal FC,Chelsea FC,1,0,1,0,home
,,1900,Leicester City FC,Manchester United FC,0,3,0,1,away
,,1945,Arsenal FC,Fulham FC,2,1,1,0,home
,,2000,Nottingham Forest FC,Manchester United FC,1,0,1,0,home
,,1945,AFC Bournemouth,Ipswich Town FC,1,2,0,1,away
,,2000,Liverpool FC,Everton FC,1,0,0,0,home
,,2000,Chelsea FC,Tottenham Hotspur FC,1,0,0,0,home
,,1230,Everton FC,Arsenal FC,1,1,0,1,draw
,,1500,Crystal Palace FC,Brighton & Hove Albion FC,2,1,1,1,home
,,1730,Aston Villa FC,Nottingham Forest FC,2,1,2,0,home
,,2000,Leicester City FC,Newcastle United FC,0,3,0,3,away
,,1230,Manchester City FC,Crystal Palace FC,5,2,2,2,home
,,1500,Brighton & Hove Albion FC,Leicester City FC,2,2,1,1,draw
,,1730,Arsenal FC,Brentford FC,1,1,0,0,draw
,,1400,Chelsea FC,Ipswich Town FC,2,2,0,2,draw
,,1630,Newcastle United FC,Manchester United FC,4,1,1,1,home
,,2000,AFC Bournemouth,Fulham FC,1,0,1,0,home
,,1930,Newcastle United FC,Crystal Palace FC,5,0,4,0,home
,,1500,Brentford FC,Brighton & Hove Albion FC,4,2,1,1,home
,,1730,Aston Villa FC,Newcastle United FC,4,1,1,1,home
