Age,Fee,Joined/0,Left/0,Nat.,Nat./0,Nat./1,Player/0,Player/1,id
19,loan transfer,Portsmouth,Tottenham,"Korea, South",,,Min-hyeok Yang,Right Winger,1004327
19,loan transfer,Girona,Man City,Brazil,,,Vitor Reis,Centre-Back,1005575
24,€30.00m,Aston Villa,OGC Nice,,Cote d'Ivoire,France,Evann Guessand,Centre-Forward,500689
32,free transfer,Villarreal,Arsenal,Ghana,,,Thomas Partey,Defensive Midfield,230784
36,?,Burnley,Newcastle,Slovakia,,,Martin Dúbravka,Goalkeeper,74960
21,€28.70m,Burnley,Chelsea,,France,Nigeria,Lesley Ugochukwu,Defensive Midfield,711999
33,€22.00m,LAFC,Tottenham,"Korea, South",,,Heung-min Son,Left Winger,91845
19,loan transfer,Sunderland,Chelsea,Spain,,,Marc Guiu,Centre-Forward,938158
20,loan transfer,Swansea,West Ham,England,,,Kaelan Casey,Centre-Back,845321
40,free transfer,Ipswich,Everton,,England,Jamaica,Ashley Young,Right-Back,14086
20,loan transfer,1.FC K'lautern,Brentford,"Korea, South",,,Ji-soo Kim,Centre-Back,709767
26,€20.00m,Leeds,TSG Hoffenheim,Germany,,,Anton Stach,Defensive Midfield,344069
26,€75.00m,Man Utd,Brentford,,Cameroon,France,Bryan Mbeumo,Right Winger,413039
19,?,Alverca,Wolves,,France,Cameroon,Bastien Meupiyou,Centre-Back,955253
28,free transfer,West Ham,Southampton,,England,Jamaica,Kyle Walker-Peters,Right-Back,341051
27,€13.80m,Leeds,Newcastle,England,,,Sean Longstaff,Central Midfield,346707
24,Loan fee:€3.00m,Benfica,Aston Villa,Argentina,,,Enzo Barrenechea,Defensive Midfield,671915
23,€56.00m,Arsenal,Chelsea,,England,Nigeria,Noni Madueke,Right Winger,503987
24,€23.00m,Botafogo,Forest,Brazil,,,Danilo,Defensive Midfield,808509
22,?,Tondela,Wolves,,Ireland,England,Joe Hodge,Defensive Midfield,503975
22,€13.00m,Como,Man City,,Argentina,Spain,Máximo Perrone,Defensive Midfield,668547
20,loan transfer,Rotherham,Man Utd,England,,,Daniel Gore,Central Midfield,747153
18,€15.00m,Man City,Rosenborg,Norway,,,Sverre Nypan,Central Midfield,911736
28,free transfer,Real Betis,Leeds,,Dominican Republic,Spain,Junior Firpo,Left-Back,374139
22,free transfer,Grasshoppers,Crystal Palace,England,,,Luke Plange,Centre-Forward,586986
25,€28.90m,Bournemouth,Chelsea,Serbia,,,Djordje Petrovic,Goalkeeper,465555
18,loan transfer,Excelsior,Brighton,"Korea, South",,,Do-young Yoon,Right Winger,1015959
