Age,Appearances,Assists,Club,Year,Nat.,Player,Position
33,33,8,Manchester City,2018,Spain,David Silva,Attacking Midfield
29,36,8,Newcastle United,2018,Scotland,Matt Ritchie,Right Midfield
32,38,8,Wolverhampton Wanderers,2018,Portugal,João Moutinho,Central Midfield
26,38,8,Liverpool FC,2018,Egypt,Mohamed Salah,Right Winger
30,32,7,Chelsea FC,2018,Brazil,Willian,Left Winger
29,32,7,Newcastle United,2018,Venezuela,Salomón Rondón,Centre-Forward
30,33,7,Manchester City,2018,Argentina,Sergio Agüero,Centre-Forward
21,33,7,Manchester United,2018,England,Marcus Rashford,Left Winger
29,34,7,Burnley FC,2018,England,Ashley Westwood,Defensive Midfield
27,34,7,Liverpool FC,2018,Brazil,Roberto Firmino,Centre-Forward
23,35,7,Arsenal FC,2018,Nigeria,Alex Iwobi,Left Winger
24,36,7,Manchester City,2018,Portugal,Bernardo Silva,Attacking Midfield
22,36,7,Leicester City,2018,England,James Maddison,Attacking Midfield
28,38,7,Wolverhampton Wanderers,2018,Mexico,Raúl Jiménez,Centre-Forward
25,24,6,Arsenal FC,2018,Bosnia-Herzegovina,Sead Kolasinac,Centre-Back
29,35,20,Manchester City,2019,Belgium,Kevin De Bruyne,Attacking Midfield
21,38,13,Liverpool FC,2019,England,Trent Alexander-Arnold,Right-Back
29,33,12,Manchester City,2019,Algeria,Riyad Mahrez,Right Winger
26,36,12,Liverpool FC,2019,Scotland,Andrew Robertson,Left-Back
34,27,11,Manchester City,2019,Spain,David Silva,Attacking Midfield
28,30,11,Tottenham Hotspur,2019,"Korea, South",Heung-min Son,Left Winger
28,34,10,Liverpool FC,2019,Egypt,Mohamed Salah,Right Winger
22,31,9,Manchester United,2019,England,Marcus Rashford,Left Winger
28,35,9,Liverpool FC,2019,Senegal,Sadio Mané,Left Winger
24,37,9,Wolverhampton Wanderers,2019,Spain,Adama Traoré,Right Winger
23,34,8,Manchester City,2019,Brazil,Gabriel Jesus,Centre-Forward
22,36,8,Leicester City,2019,England,Harvey Barnes,Left Winger
28,38,8,Liverpool FC,2019,Brazil,Roberto Firmino,Centre-Forward
25,14,7,Manchester United,2019,Portugal,Bruno Fernandes,Attacking Midfield
24,32,7,Manchester United,2019,France,Anthony Martial,Centre-Forward
25,34,7,Manchester City,2019,Portugal,Bernardo Silva,Attacking Midfield
27,35,7,Everton FC,2019,France,Lucas Digne,Left-Back
31,36,7,Chelsea FC,2019,Brazil,Willian,Left Winger
23,36,7,Norwich City,2019,Argentina,Emiliano Buendía,Attacking Midfield
21,25,6,Chelsea FC,2019,United States,Christian Pulisic,Right Winger
22,28,6,Watford FC,2019,Senegal,Ismaïla Sarr,Right Winger
29,30,6,Arsenal FC,2019,France,Alexandre Lacazette,Centre-Forward
25,31,6,Arsenal FC,2019,Cote d'Ivoire,Nicolas Pépé,Right Winger
22,33,6,Manchester United,2019,Wales,Daniel James,Right Winger
30,35,6,Burnley FC,2019,England,Ashley Westwood,Defensive Midfield
27,35,14,Tottenham Hotspur,2020,England,Harry Kane,Centre-Forward
23,37,13,Manchester United,2020,England,Marcus Rashford,Left Winger
29,25,12,Manchester City,2020,Belgium,Kevin De Bruyne,Attacking Midfield
25,26,12,Aston Villa,2020,England,Jack Grealish,Left Winger
25,35,12,Chelsea FC,2020,Germany,Timo Werner,Left Winger
28,37,11,Tottenham Hotspur,2020,"Korea, South",Heung-min Son,Left Winger
26,37,11,Manchester United,2020,Portugal,Bruno Fernandes,Attacking Midfield
34,34,10,Leicester City,2020,England,Jamie Vardy,Centre-Forward
24,30,9,Leeds United,2020,Brazil,Raphinha,Left Winger
27,38,9,Leeds United,2020,England,Patrick Bamford,Centre-Forward
26,31,8,Manchester City,2020,England,Raheem Sterling,Right Winger
29,34,8,Brighton & Hove Albion,2020,Germany,Pascal GroÃŸ,Central Midfield
29,35,8,Liverpool FC,2020,Senegal,Sadio Mané,Left Winger
31,36,8,West Ham United,2020,England,Aaron Cresswell,Left-Back
24,36,8,Leeds United,2020,England,Jack Harrison,Right Winger
27,30,7,Everton FC,2020,France,Lucas Digne,Left-Back
24,31,7,Leicester City,2020,England,James Maddison,Attacking Midfield
28,34,7,West Ham United,2020,Czech Republic,Vladimír Coufal,Right-Back
29,36,7,Liverpool FC,2020,Brazil,Roberto Firmino,Centre-Forward
25,36,7,Aston Villa,2020,Burkina Faso,Bertrand Traoré,Right Winger
22,36,7,Liverpool FC,2020,England,Trent Alexander-Arnold,Right-Back
26,38,7,Southampton FC,2020,England,James Ward-Prowse,Central Midfield
27,38,7,Liverpool FC,2020,Scotland,Andrew Robertson,Left-Back
25,22,6,Manchester United,2020,France,Anthony Martial,Centre-Forward
26,26,6,Manchester City,2020,Portugal,Bernardo Silva,Attacking Midfield
29,35,13,Liverpool FC,2021,Egypt,Mohamed Salah,Right Winger
23,32,12,Liverpool FC,2021,England,Trent Alexander-Arnold,Right-Back
25,36,12,West Ham United,2021,England,Jarrod Bowen,Right Winger
28,29,10,Liverpool FC,2021,Scotland,Andrew Robertson,Left-Back
23,32,10,Chelsea FC,2021,England,Mason Mount,Attacking Midfield
24,32,10,Leicester City,2021,England,Harvey Barnes,Left Winger
29,20,9,Manchester United,2021,France,Paul Pogba,Central Midfield
22,26,9,Chelsea FC,2021,England,Reece James,Right-Back
25,28,9,Manchester City,2021,Brazil,Gabriel Jesus,Centre-Forward
29,35,9,Tottenham Hotspur,2021,"Korea, South",Heung-min Son,Left Winger
28,37,9,Tottenham Hotspur,2021,England,Harry Kane,Centre-Forward
22,18,8,Tottenham Hotspur,2021,Sweden,Dejan Kulusevski,Attacking Midfield
30,30,8,Manchester City,2021,Belgium,Kevin De Bruyne,Attacking Midfield
25,35,8,Leicester City,2021,England,James Maddison,Attacking Midfield
32,36,8,West Ham United,2021,Jamaica,Michail Antonio,Centre-Forward
30,30,7,Arsenal FC,2021,France,Alexandre Lacazette,Centre-Forward
22,35,7,Brentford FC,2021,Cameroon,Bryan Mbeumo,Right Winger
27,36,7,Manchester City,2021,Portugal,João Cancelo,Right-Back
20,38,7,Arsenal FC,2021,England,Bukayo Saka,Right Winger
20,29,6,Arsenal FC,2021,Brazil,Gabriel Martinelli,Left Winger
29,30,6,Aston Villa,2021,England,Danny Ings,Centre-Forward
27,30,6,Manchester City,2021,England,Raheem Sterling,Right Winger
26,32,6,West Ham United,2021,Algeria,Saïd Benrahma,Left Winger
24,33,6,Watford FC,2021,Nigeria,Emmanuel Dennis,Centre-Forward
29,34,6,Tottenham Hotspur,2021,Brazil,Lucas Moura,Right Winger
31,32,18,Manchester City,2022,Belgium,Kevin De Bruyne,Attacking Midfield
28,36,13,for 2 clubs,2022,Belgium,Leandro Trossard,Left Winger
30,38,12,Liverpool FC,2022,Egypt,Mohamed Salah,Right Winger
21,38,12,Arsenal FC,2022,England,Bukayo Saka,Right Winger
21,37,11,Crystal Palace,2022,France,Michael Olise,Right Winger
32,30,10,Manchester City,2022,Algeria,Riyad Mahrez,Right Winger
24,37,10,Liverpool FC,2022,England,Trent Alexander-Arnold,Right-Back
26,30,9,Leicester City,2022,England,James Maddison,Attacking Midfield
28,33,9,Brighton & Hove Albion,2022,England,Solly March,Right Winger
31,28,8,Manchester United,2022,Denmark,Christian Eriksen,Central Midfield
34,34,8,Tottenham Hotspur,2022,Croatia,Ivan Periši?,Left Winger
29,34,8,Liverpool FC,2022,Scotland,Andrew Robertson,Left-Back
22,35,8,Manchester City,2022,Norway,Erling Haaland,Centre-Forward
31,37,8,Brighton & Hove Albion,2022,Germany,Pascal GroÃŸ,Central Midfield
28,37,8,Manchester United,2022,Portugal,Bruno Fernandes,Attacking Midfield
23,37,8,for 2 clubs,2022,England,Morgan Gibbs-White,Attacking Midfield
